Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT1G01695	AT1G01695.1	TRM33	NA	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
AT1G01700	AT1G01700.1	ATROPGEF2	0.428766	RHO guanyl-nucleotide exchange factor 2
AT1G01710	AT1G01710.1	""	0.170991	acyl-CoA thioesterase II
AT1G01720	AT1G01720.1	ANAC002	NA	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G01725	AT1G01725.1	""	NA	adenylosuccinate synthetase
AT1G01730	AT1G01730.1	""	NA	hypothetical protein
AT1G01740	AT1G01740.1	BSK4	0.670684	kinase with tetratricopeptide repeat domain-containing protein
AT1G01750	AT1G01750.1	ADF11	0.002137	actin depolymerizing factor 11
AT1G01760	AT1G01760.1	AtTAD1	1	denosine deaminases acting on tRNA
AT1G01770	AT1G01770.1	""	1	propionyl-CoA carboxylase
AT1G01780	AT1G01780.1	PLIM2b	1	GATA type zinc finger transcription factor family protein
AT1G01790	AT1G01790.1	ATKEA1	0.001306	K+ efflux antiporter 1
AT1G01800	AT1G01800.1	""	NA	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01810	AT1G01810.1	""	NA	hypothetical protein
AT1G01820	AT1G01820.1	PEX11C	1	peroxin 11c
AT1G01830	AT1G01830.2	""	1	ARM repeat superfamily protein
AT1G01840	AT1G01840.1	""	NA	AP2-like ethylene-responsive transcription factor SNZ
AT1G01860	AT1G01860.1	PFC1	0.027797	Ribosomal RNA adenine dimethylase family protein
AT1G01880	AT1G01880.1	AtGEN1	NA	5-3 exonuclease family protein
AT1G01900	AT1G01900.1	ATSBT1.1	NA	subtilase family protein
AT1G01910	AT1G01910.1	AtGET3a	0.94458	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G01920	AT1G01920.1	""	0.199985	SET domain-containing protein
AT1G01930	AT1G01930.1	""	NA	zinc finger protein-like protein
AT1G01940	AT1G01940.1	""	NA	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
AT1G01950	AT1G01950.3	ARK2	0.184885	armadillo repeat kinesin 2
AT1G01960	AT1G01960.1	BIG3	1	SEC7-like guanine nucleotide exchange family protein
AT1G01970	AT1G01970.1	""	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01980	AT1G01980.1	AtBBE1	NA	FAD-binding Berberine family protein
AT1G01990	AT1G01990.1	""	NA	hypothetical protein
AT1G02000	AT1G02000.1	GAE2	NA	UDP-D-glucuronate 4-epimerase 2
AT1G02010	AT1G02010.1	SEC1A	NA	secretory 1A
AT1G02020	AT1G02020.1	""	1	nitroreductase family protein
AT1G02030	AT1G02030.1	""	NA	C2H2-like zinc finger protein
AT1G02040	AT1G02040.1	""	NA	C2H2-type zinc finger family protein
AT1G02050	AT1G02050.1	LAP6	NA	Chalcone and stilbene synthase family protein
AT1G02060	AT1G02060.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02065	AT1G02065.1	SPL8	1	squamosa promoter binding protein-like 8
AT1G02070	AT1G02070.1	""	NA	zinc ion-binding protein
AT1G02080	AT1G02080.1	""	1	transcription regulator
AT1G02090	AT1G02090.1	ATCSN7	7.7e-05	Proteasome component (PCI) domain protein
AT1G02100	AT1G02100.3	LCMT1	0.457202	Leucine carboxyl methyltransferase
AT1G02110	AT1G02110.1	""	1	bZIP domain class transcription factor (DUF630 and DUF632)
AT1G02120	AT1G02120.1	VAD1	0.02252	GRAM domain family protein
AT1G02130	AT1G02130.1	ARA-5	0.410243	RAS 5
AT1G02140	AT1G02140.1	HAP1	1	mago nashi family protein
AT1G02145	AT1G02145.3	ALG12	1	homolog of asparagine-linked glycosylation 12
AT1G02150	AT1G02150.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02160	AT1G02160.2	""	0.816074	Cox19 family protein (CHCH motif)
AT1G02170	AT1G02170.1	ATMC1	1	metacaspase 1
AT1G02180	AT1G02180.1	""	0.854193	ferredoxin-like protein
AT1G02190	AT1G02190.1	CER1-L1	NA	Fatty acid hydroxylase superfamily
AT1G02205	AT1G02205.3	CER1	1	Fatty acid hydroxylase superfamily
AT1G02210	AT1G02210.1	""	NA	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G02220	AT1G02220.1	ANAC003	1	NAC domain containing protein 3
AT1G02230	AT1G02230.1	ANAC004	NA	NAC domain containing protein 4
AT1G02250	AT1G02250.1	anac005	NA	NAC domain containing protein 5
AT1G02260	AT1G02260.1	""	1	Divalent ion symporter
AT1G02270	AT1G02270.1	""	1	Calcium-binding endonuclease/exonuclease/phosphatase family
AT1G02280	AT1G02280.1	ATTOC33	1	translocon at the outer envelope membrane of chloroplasts 33
AT1G02290	AT1G02290.1	""	NA	hypothetical protein
AT1G02300	AT1G02300.1	AtcathB1	1	Cysteine proteinases superfamily protein
AT1G02305	AT1G02305.1	AtcathB2	1	Cysteine proteinases superfamily protein
AT1G02310	AT1G02310.1	MAN1	1	Glycosyl hydrolase superfamily protein
AT1G02320	AT1G02320.1	""	NA	hypothetical protein
AT1G02330	AT1G02330.1	CSU2	1	integrator complex subunit-like protein
AT1G02335	AT1G02335.1	GL22	NA	germin-like protein subfamily 2 member 2 precursor
AT1G02340	AT1G02340.1	FBI1	1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G02350	AT1G02350.1	""	1	protoporphyrinogen oxidase-like protein
AT1G02360	AT1G02360.1	""	NA	Chitinase family protein
AT1G02370	AT1G02370.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02380	AT1G02380.1	""	NA	transmembrane protein
AT1G02390	AT1G02390.1	ATGPAT2	NA	glycerol-3-phosphate acyltransferase 2
AT1G02400	AT1G02400.1	ATGA2OX4	1	gibberellin 2-oxidase 6
AT1G02405	AT1G02405.1	""	NA	proline-rich family protein
AT1G02410	AT1G02410.1	COX11	0.691152	cytochrome c oxidase assembly protein CtaG / Cox11 family
AT1G02420	AT1G02420.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT1G02430	AT1G02430.1	ARFD1B	0.644956	ADP-ribosylation factor D1B
AT1G02440	AT1G02440.1	ARFD1A	1	ADP-ribosylation factor D1A
AT1G02450	AT1G02450.1	NIMIN-1	NA	NIM1-interacting 1
AT1G02460	AT1G02460.1	""	NA	Pectin lyase-like superfamily protein
AT1G02470	AT1G02470.2	""	1	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02475	AT1G02475.1	""	0.841598	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02490	AT1G02490.1	""	NA	hypothetical protein
AT1G02500	AT1G02500.1	AtSAM1	1	S-adenosylmethionine synthetase 1
AT1G02510	AT1G02510.1	ATKCO4	NA	Outward rectifying potassium channel protein
AT1G02520	AT1G02520.1	ABCB11	1	P-glycoprotein 11
AT1G02530	AT1G02530.1	ABCB12	NA	P-glycoprotein 12
AT1G02540	AT1G02540.1	""	NA	hypothetical protein
AT1G02550	AT1G02550.1	""	NA	Plant invertase/pectin methylesterase inhibitor superfamily protein
AT1G02560	AT1G02560.1	CLPP5	1	nuclear encoded CLP protease 5
AT1G02570	AT1G02570.1	""	NA	transmembrane protein
AT1G02575	AT1G02575.1	""	NA	transmembrane protein
AT1G02580	AT1G02580.1	EMB173	1	SET domain-containing protein
AT1G02590	AT1G02590.1	""	NA	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding protein
AT1G02610	AT1G02610.1	""	1	RING/FYVE/PHD zinc finger superfamily protein
AT1G02620	AT1G02620.1	""	NA	Ras-related small GTP-binding family protein
AT1G02630	AT1G02630.1	""	NA	Nucleoside transporter family protein
AT1G02640	AT1G02640.1	ATBXL2	NA	beta-xylosidase 2
AT1G02650	AT1G02650.1	""	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02660	AT1G02660.1	PLIP2	0.418089	alpha/beta-Hydrolases superfamily protein
AT1G02670	AT1G02670.1	""	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G02680	AT1G02680.1	TAF13	NA	TBP-associated factor 13
AT1G02690	AT1G02690.2	IMPA-6	NA	importin alpha isoform 6
AT1G02700	AT1G02700.1	""	1	GATA transcription factor-like protein
AT1G02710	AT1G02710.1	""	NA	glycine-rich protein
AT1G02720	AT1G02720.1	AtGATL5	1	galacturonosyltransferase 5
AT1G02730	AT1G02730.1	ATCSLD5	NA	cellulose synthase-like D5
AT1G02740	AT1G02740.1	MRG2	1	MRG family protein
AT1G02750	AT1G02750.1	""	1	Drought-responsive family protein
AT1G02770	AT1G02770.1	""	NA	hypothetical protein
AT1G02780	AT1G02780.1	emb2386	1	Ribosomal protein L19e family protein
AT1G02790	AT1G02790.1	PGA4	NA	polygalacturonase 4
AT1G02800	AT1G02800.1	ATCEL2	NA	cellulase 2
AT1G02810	AT1G02810.1	""	NA	Plant invertase/pectin methylesterase inhibitor superfamily
AT1G02813	AT1G02813.1	""	NA	pectinesterase (Protein of unknown function, DUF538)
AT1G02816	AT1G02816.1	""	1	pectinesterase (Protein of unknown function, DUF538)
AT1G02820	AT1G02820.1	AtLEA3	NA	Late embryogenesis abundant 3 (LEA3) family protein
AT1G02830	AT1G02830.1	""	NA	Ribosomal L22e protein family
AT1G02840	AT1G02840.1	At-SR34	0.003727	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G02850	AT1G02850.4	BGLU11	0.018394	beta glucosidase 11
AT1G02860	AT1G02860.1	BAH1	1	SPX (SYG1/Pho81/XPR1) domain-containing protein
AT1G02870	AT1G02870.1	""	NA	nucleolar-like protein
AT1G02880	AT1G02880.3	TPK1	0.035729	thiamin pyrophosphokinase1
AT1G02890	AT1G02890.1	""	1	AAA-type ATPase family protein
AT1G02900	AT1G02900.1	ATRALF1	NA	rapid alkalinization factor 1
AT1G02910	AT1G02910.1	LPA1	7.7e-05	tetratricopeptide repeat (TPR)-containing protein
AT1G02920	AT1G02920.1	ATGST11	1	glutathione S-transferase 7
AT1G02930	AT1G02930.1	ATGST1	1	glutathione S-transferase 6
AT1G02940	AT1G02940.1	ATGSTF5	NA	glutathione S-transferase (class phi) 5
AT1G02950	AT1G02950.2	ATGSTF4	1	glutathione S-transferase F4
AT1G02960	AT1G02960.2	""	1	kinetochore protein
AT1G02965	AT1G02965.1	""	NA	hypothetical protein
AT1G02970	AT1G02970.1	ATWEE1	1	WEE1-like kinase
AT1G02980	AT1G02980.1	ATCUL2	NA	cullin 2
AT1G02990	AT1G02990.3	""	0.993051	hypothetical protein
AT1G03000	AT1G03000.1	PEX6	0.560286	peroxin 6
AT1G03010	AT1G03010.1	""	NA	Phototropic-responsive NPH3 family protein
AT1G03020	AT1G03020.1	GRXS1	NA	Thioredoxin superfamily protein
AT1G03030	AT1G03030.1	""	0.214822	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G03040	AT1G03040.1	""	1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G03050	AT1G03050.1	PICALM5A	NA	ENTH/ANTH/VHS superfamily protein
AT1G03055	AT1G03055.1	AtD27	1	beta-carotene isomerase D27-like protein
AT1G03060	AT1G03060.1	BCHA1	1	BEACH-DOMAIN HOMOLOG A1
AT1G03070	AT1G03070.1	AtLFG4	1	Bax inhibitor-1 family protein
AT1G03080	AT1G03080.1	NET1D	1	kinase interacting (KIP1-like) family protein
AT1G03090	AT1G03090.2	MCCA	0.001341	methylcrotonyl-CoA carboxylase alpha chain
AT1G03100	AT1G03100.1	""	1	Pentatricopeptide repeat (PPR) superfamily protein
AT1G03103	AT1G03103.1	""	NA	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G03106	AT1G03106.1	""	NA	hypothetical protein
AT1G03110	AT1G03110.1	AtTRM82	1	Transducin/WD40 repeat-like superfamily protein
AT1G03120	AT1G03120.1	RAB28	NA	responsive to abscisic acid 28
AT1G03130	AT1G03130.1	PSAD-2	NA	photosystem I subunit D-2
AT1G03140	AT1G03140.1	PRP18a	NA	splicing factor Prp18 family protein
AT1G03150	AT1G03150.1	""	NA	Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03160	AT1G03160.1	FZL	0.001171	FZO-like protein
AT1G03170	AT1G03170.1	FAF2	NA	FANTASTIC four-like protein (DUF3049)
AT1G03180	AT1G03180.1	""	0.758748	non-structural protein
AT1G03190	AT1G03190.1	ATXPD	0.052656	RAD3-like DNA-binding helicase protein
AT1G03200	AT1G03200.1	""	NA	hypothetical protein
AT1G03210	AT1G03210.1	""	1	Phenazine biosynthesis PhzC/PhzF protein
AT1G03220	AT1G03220.1	""	NA	Eukaryotic aspartyl protease family protein
AT1G03230	AT1G03230.1	""	NA	Eukaryotic aspartyl protease family protein
AT1G03240	AT1G03240.1	""	NA	hypothetical protein
AT1G03250	AT1G03250.2	""	0.006023	R3H domain protein
AT1G03260	AT1G03260.1	""	1	SNARE associated Golgi protein family
AT1G03270	AT1G03270.1	""	0.870887	CBS domain protein with a domain protein (DUF21)
AT1G03280	AT1G03280.1	""	0.166304	Transcription factor TFIIE, alpha subunit
AT1G03290	AT1G03290.1	""	1	ELKS/Rab6-interacting/CAST family protein
AT1G03300	AT1G03300.1	ATDUF1	NA	agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)
AT1G03310	AT1G03310.2	AtBE2	1	debranching enzyme 1
AT1G03320	AT1G03320.1	""	NA	hypothetical protein
AT1G03330	AT1G03330.1	LSM2	1	Small nuclear ribonucleoprotein family protein
AT1G03340	AT1G03340.1	""	NA	hypothetical protein
AT1G03350	AT1G03350.1	""	1	BSD domain-containing protein
AT1G03360	AT1G03360.1	ATRRP4	NA	ribosomal RNA processing 4
AT1G03365	AT1G03365.1	""	1	RING/U-box superfamily protein
AT1G03370	AT1G03370.1	""	1	C2 calcium/lipid-binding and GRAM domain containing protein
AT1G03380	AT1G03380.1	ATATG18G	NA	yeast autophagy 18 G-like protein
AT1G03390	AT1G03390.1	""	NA	HXXXD-type acyl-transferase family protein
AT1G03400	AT1G03400.1	""	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03410	AT1G03410.1	2A6	0.453153	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03430	AT1G03430.1	AHP5	1	histidine-containing phosphotransfer factor 5
AT1G03440	AT1G03440.1	""	NA	Leucine-rich repeat (LRR) family protein
AT1G03445	AT1G03445.1	BSU1	1	Serine/threonine protein phosphatase family protein
AT1G03457	AT1G03457.2	AtBRN2	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G03470	AT1G03470.1	NET3A	1	Kinase interacting (KIP1-like) family protein
AT1G03475	AT1G03475.1	ATCPO-I	NA	Coproporphyrinogen III oxidase
AT1G03490	AT1G03490.1	ANAC006	NA	NAC domain containing protein 6
AT1G03495	AT1G03495.1	""	NA	HXXXD-type acyl-transferase family protein
AT1G03510	AT1G03510.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G03520	AT1G03520.1	""	1	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
AT1G03530	AT1G03530.1	ATNAF1	NA	nuclear assembly factor 1
AT1G03540	AT1G03540.1	""	NA	Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G03550	AT1G03550.1	AtSCAMP4	1	Secretory carrier membrane protein (SCAMP) family protein
AT1G03560	AT1G03560.1	""	NA	Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G03590	AT1G03590.1	""	1	Protein phosphatase 2C family protein
AT1G03600	AT1G03600.1	PSB27	NA	photosystem II family protein
AT1G03610	AT1G03610.1	""	1	plant/protein (DUF789)
AT1G03620	AT1G03620.1	""	1	ELMO/CED-12 family protein
AT1G03630	AT1G03630.1	POR C	1	protochlorophyllide oxidoreductase C
AT1G03650	AT1G03650.1	""	NA	Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03660	AT1G03660.1	""	NA	Ankyrin-repeat containing protein
AT1G03670	AT1G03670.1	""	NA	ankyrin repeat family protein
AT1G03680	AT1G03680.1	ATHM1	1	thioredoxin M-type 1
AT1G03687	AT1G03687.1	""	0.435103	DTW domain-containing protein
AT1G03700	AT1G03700.1	CASPL1C2	NA	Uncharacterized protein family (UPF0497)
AT1G03710	AT1G03710.1	""	NA	Cystatin/monellin superfamily protein
AT1G03720	AT1G03720.1	""	NA	Cysteine proteinases superfamily protein
AT1G03730	AT1G03730.1	""	NA	pyrroline-5-carboxylate reductase
AT1G03740	AT1G03740.1	""	1	Protein kinase superfamily protein
AT1G03750	AT1G03750.1	CHR9	1	switch 2
AT1G03760	AT1G03760.1	""	1	Prefoldin chaperone subunit family protein
AT1G03770	AT1G03770.2	ATRING1B	1	RING 1B
AT1G03780	AT1G03780.3	AtTPX2	1	targeting protein for XKLP2
AT1G03790	AT1G03790.1	AtTZF4	NA	Zinc finger C-x8-C-x5-C-x3-H type family protein
AT1G03800	AT1G03800.1	ATERF10	NA	ERF domain protein 10
AT1G03810	AT1G03810.1	""	NA	Nucleic acid-binding, OB-fold-like protein
AT1G03820	AT1G03820.1	""	NA	E6-like protein
AT1G03830	AT1G03830.2	""	1	guanylate-binding family protein
AT1G03840	AT1G03840.1	IDD3	NA	C2H2 and C2HC zinc fingers superfamily protein
AT1G03850	AT1G03850.1	ATGRXS13	1	Glutaredoxin family protein
AT1G03860	AT1G03860.1	ATPHB2	NA	prohibitin 2
AT1G03870	AT1G03870.1	FLA9	1	FASCICLIN-like arabinoogalactan 9
AT1G03880	AT1G03880.1	CRB	NA	cruciferin 2
AT1G03890	AT1G03890.1	""	NA	RmlC-like cupins superfamily protein
AT1G03900	AT1G03900.1	ABCI18	1	non-intrinsic ABC protein 4
AT1G03905	AT1G03905.1	ABCI19	0.471904	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G03910	AT1G03910.2	CTN	0.08768	cactus-binding carboxy-terminal, cactin
AT1G03920	AT1G03920.1	""	NA	Protein kinase family protein
AT1G03930	AT1G03930.1	ADK1	1	dual specificity kinase 1
AT1G03940	AT1G03940.1	""	NA	HXXXD-type acyl-transferase family protein
AT1G03950	AT1G03950.1	VPS2.3	1	vacuolar protein sorting-associated protein 2.3
AT1G03960	AT1G03960.1	""	0.267864	Calcium-binding EF hand family protein
AT1G03970	AT1G03970.1	GBF4	NA	G-box binding factor 4
AT1G03980	AT1G03980.1	ATPCS2	NA	phytochelatin synthase 2
AT1G03982	AT1G03982.1	""	NA	PAK-box/P21-Rho-binding family protein
AT1G03990	AT1G03990.1	""	NA	Long-chain fatty alcohol dehydrogenase family protein
AT1G04000	AT1G04000.1	""	NA	hypothetical protein
AT1G04010	AT1G04010.1	ATPSAT1	0.924273	phospholipid sterol acyl transferase 1
AT1G04020	AT1G04020.1	ATBARD1	1	breast cancer associated RING 1
AT1G04030	AT1G04030.1	""	NA	eisosome protein
AT1G04040	AT1G04040.1	""	NA	HAD superfamily, subfamily IIIB acid phosphatase
AT1G04050	AT1G04050.1	SDG13	NA	histone-lysine N-methyltransferase SUVR2-like protein
AT1G04070	AT1G04070.1	ATTOM22-I	NA	translocase of outer membrane 22-I
AT1G04080	AT1G04080.3	PRP39	0.046892	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G04090	AT1G04090.1	""	NA	vacuolar sorting-associated protein (DUF946)
AT1G04100	AT1G04100.1	IAA10	NA	indoleacetic acid-induced protein 10
AT1G04110	AT1G04110.1	AtSDD1	NA	Subtilase family protein
AT1G04120	AT1G04120.1	ABCC5	0.182129	multidrug resistance-associated protein 5
AT1G04130	AT1G04130.1	AtTPR2	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G04140	AT1G04140.2	""	1	Transducin family protein / WD-40 repeat family protein
AT1G04150	AT1G04150.1	MCTP10	NA	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
AT1G04160	AT1G04160.1	ATXIB	1	myosin XI B
AT1G04170	AT1G04170.1	EIF2 GAMMA	0.113438	eukaryotic translation initiation factor 2 gamma subunit
AT1G04180	AT1G04180.1	YUC9	NA	YUCCA 9
AT1G04190	AT1G04190.1	TPR3	0.000247	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G04200	AT1G04200.1	""	1	dyggve-melchior-clausen syndrome protein
AT1G04210	AT1G04210.1	""	1	Leucine-rich repeat protein kinase family protein
AT1G04220	AT1G04220.1	KCS2	NA	3-ketoacyl-CoA synthase 2
AT1G04230	AT1G04230.1	""	0.013854	rRNA-processing EFG1-like protein (DUF2361)
AT1G04240	AT1G04240.1	IAA3	NA	AUX/IAA transcriptional regulator family protein
AT1G04250	AT1G04250.1	AtIAA17	NA	AUX/IAA transcriptional regulator family protein
AT1G04260	AT1G04260.1	MPI7	NA	CAMV movement protein interacting protein 7
AT1G04270	AT1G04270.1	RPS15	1	cytosolic ribosomal protein S15
AT1G04280	AT1G04280.1	""	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G04290	AT1G04290.1	""	0.140466	Thioesterase superfamily protein
AT1G04300	AT1G04300.3	MUSE13	0.110888	TRAF-like superfamily protein
AT1G04310	AT1G04310.1	ERS2	1	ethylene response sensor 2
AT1G04330	AT1G04330.1	PH2	NA	hypothetical protein
AT1G04340	AT1G04340.1	""	NA	HR-like lesion-inducing protein-like protein
AT1G04350	AT1G04350.1	""	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G04360	AT1G04360.1	ATL1	NA	RING/U-box superfamily protein
AT1G04370	AT1G04370.1	ATERF14	NA	Ethylene-responsive element binding factor 14
AT1G04380	AT1G04380.1	""	1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G04390	AT1G04390.1	""	1	BTB/POZ domain-containing protein
